servico,linha-1,linha-2
regularizacao-da-situacao-cadastral-no-cpf,Emitir seus Documentos,
consulta-pendencias-situacao-fiscal-situacao-fiscal-certidoes-e-situacao-fiscal,,
emissao-de-segunda-via-de-certidao-pessoa-juridica-certidao-pessoa-juridica-divida-ativa-da-uniao-dau,Administrar um Negócio,
consulta-pendencias-situacao-fiscal-previdenciaria-situacao-fiscal-certidoes-e-situacao-fiscal,,
consulta-pendencias-situacao-fiscal-divida-ativa-da-uniao-dau,,
intimacoes-do-simples-nacional-exclusao,Administrar um Negócio,
consulta-mandado-de-procedimento-fiscal-mpf,Administrar um Negócio,
sistema-validador-e-autenticador-de-arquivos-digitais-sva,,
retificadora-on-line-extrato-da-dirpf,Pagar Contas e Impostos,
copia-de-declaracao-dctf-declaracao-de-debitos-e-creditos-tributarios-federais-declaracoes-e-demonstrativos,,
parcelamento-simplificado-nao-previdenciario-dau-parcelamento-divida-ativa-da-uniao-dau-pagamentos-e-parcelamentos,,
consulta-a-processo-digital,,
realizar-desistencia-refri,Administrar um Negócio,
cadastro-de-intervenientes-nos-sistemas-informatizados-receita-federal,,
siscomex-carga-retificacao,,
siscomex-carga-termos-de-responsabilidade,,
siscomex-mantra-solicitacao-de-redisponibilizacao,,
despacho-simplificado-de-exportacao-retificacao,Exportar seus produtos e serviços,
repetro-habilitacao,Exportar seus produtos e serviços,Importar Produtos e Serviços
declaracao-de-transito-aduaneiro-retificacao,,
intimacoes-aduana-entrega-de-documentos,,
cnpj-previdenciario-inclusao,Administrar um Negócio,
cnpj-previdenciario-entrega-de-documentos,Administrar um Negócio,
entrega-de-documentos-para-o-cei,Administrar um Negócio,
comprovacao-de-pagamento-realizado,,
intimacoes-diversas,,
impugnacao-de-lancamento,,
entrega-de-declaracao-ditr,,
emissao-de-segunda-via-de-certidao-pessoa-fisica-divida-ativa-da-uniao-dau,Pagar Contas e Impostos,
orientacoes-gerais-sobre-isencao-de-contribuicoes-sociais,,
consulta-sobre-interpretacao-da-legislacao-tributaria,,
consulta-pagamentos-por-orgao-conveniado-rede-arrecadadora-pagamento-pagamentos-e-parcelamentos,,
parcelamento-especial-paes-refis-ii,Pagar Contas e Impostos,
validacao-de-documentos-assinados-digitalmente,Emitir seus Documentos,
orientacoes-gerais-habilitacao-e-cadastramento-siscomex,Exportar seus produtos e serviços,Importar Produtos e Serviços
siscomex-carga-acesso-ao-sistema-web,Exportar seus produtos e serviços,Importar Produtos e Serviços
siscomex-transito-acesso-ao-sistema-web,Exportar seus produtos e serviços,Importar Produtos e Serviços
siscomex-importacao-acesso-ao-sistema-web,Importar Produtos e Serviços,
sistema-de-leilao-eletronico-sle-outros,,
orientacoes-gerais-sobre-restituicao-tributos-aduaneiros,Exportar seus produtos e serviços,Importar Produtos e Serviços
orientacoes-gerais-sobre-intimacoes-aduana,Administrar um Negócio,
inscricao-no-cnpj,Administrar um Negócio,
consulta-cadastro-previdenciario,,
pedido-de-baixa-de-empresa-certidao-contribuicoes-previdenciarias-divida-ativa-da-uniao-dau,Administrar um Negócio,
entrega-de-requerimento-malha-fiscal-irpf-impugnacao,Pagar Contas e Impostos,
consulta-requisicao-de-movimentacao-financeira-rmf,,
sistema-integrado-coleta-resultado-processamento-sinco,Administrar um Negócio,
opcao-convenio-itr,Ter um Imóvel,
extrato-do-processamento-dctf,Administrar um Negócio,
extrato-do-processamento-da-dirf,Pagar Contas e Impostos,
consulta-rendimentos-informados-por-fontes-pagadoras-dipj-declaracao-de-informacoes-economico-fiscais-da-pj-declaracoes-e-demonstrativos,Administrar um Negócio,
consulta-debitos-do-simples-nacional-apos-regularizacao,Administrar um Negócio,
declaracao-anual-do-simples-nacional-ano-calendario-ate-2011,Administrar um Negócio,
naturalizacao-concessao-e-transformacao,Vir para o Brasil,
credenciamento-de-empresas-de-escolta,Administrar um Negócio,
declaracao-de-exportacao-recepcao,Exportar seus produtos e serviços,
despacho-simplificado-de-exportacao-averbacao,Exportar seus produtos e serviços,
despacho-simplificado-de-importacao-retificacao,Importar Produtos e Serviços,
entrega-antecipada-de-mercadoria-importacao,Importar Produtos e Serviços,
verificacao-de-mercadoria-antes-do-registro-da-di,Importar Produtos e Serviços,
deposito-especial-habilitacao,Exportar seus produtos e serviços,Importar Produtos e Serviços
repex-habilitacao,Importar Produtos e Serviços,
pedido-de-cadastramento-de-veiculos-e-condutores-para-o-rtu,Manter um Veículo,
devolucao-de-container-pedido,Exportar seus produtos e serviços,Importar Produtos e Serviços
autorizacao-para-acesso-permanente-a-recinto-alfandegado,Exportar seus produtos e serviços,Importar Produtos e Serviços
outros-assuntos-aduana-entrega-de-documentos,Exportar seus produtos e serviços,Importar Produtos e Serviços
orientacoes-gerais-sobre-renavam,Manter um Veículo,
inscricao-no-cafir,Ter um Imóvel,
notificacao-de-compensacao-de-oficio-da-malha-debito-intimacoes-relacionadas-a-cobranca-cobranca-e-fiscalizacao,Pagar Contas e Impostos,
outros-recursos-ao-carf,,
programa-gerador-da-declaracao-pgd-dtta-e-receitanet,Pagar Contas e Impostos,
confirmacao-de-autenticidade-de-certidao-pessoa-fisica-divida-ativa-da-uniao-dau,Emitir seus Documentos,
confirmacao-de-autenticidade-de-certidao-pessoa-juridica-certidao-pessoa-juridica-divida-ativa-da-uniao-dau,Administrar um Negócio,
confirmacao-autenticidade-de-certidao-emitida-ate-8-2-2000-certidao-contribuicoes-previdenciarias-certidoes-e-situacao-fiscal,Emitir seus Documentos,
pedido-de-baixa-de-empresa-certidao-contribuicoes-previdenciarias-certidoes-e-situacao-fiscal,Administrar um Negócio,
copia-de-processo,,
parcelamento-refis-programa-de-recuperacao-fiscal,Pagar Contas e Impostos,
consulta-publica-refri,Administrar um Negócio,
pedido-de-registro-especial-para-papel-imune,Administrar um Negócio,
consulta-pj-habilitadas-pis-pasep-e-cofins-in-595-2005,Administrar um Negócio,
consulta-pj-habilitadas-exportacao-de-servicos-de-ti,Exportar seus produtos e serviços,
orientacoes-gerais-acesso-aos-sist-de-comercio-exterior,Exportar seus produtos e serviços,
sistema-cpf-para-entidades-conveniadas-cpf-cadastro-de-pessoas-fisicas-conveniadas-e-parceiros,,
emissao-de-certidao-pessoa-fisica-divida-ativa-da-uniao-dau,Pagar Contas e Impostos,
emissao-de-certidao-pessoa-juridica-certidao-pessoa-juridica-divida-ativa-da-uniao-dau,Administrar um Negócio,
confirmacao-de-autenticidade-de-certidao-pessoa-juridica-certidao-pessoa-juridica-certidoes-e-situacao-fiscal,Administrar um Negócio,
intimacoes-malha-dctf,Pagar Contas e Impostos,
consulta-pagamentos-por-orgao-conveniado-rede-arrecadadora-pagamento-rede-arrecadadora-conveniadas-e-parceiros,Pagar Contas e Impostos,
consolidacao-dos-lancamentos-efetuados-rede-arrecadadora,Pagar Contas e Impostos,
programa-gerador-da-declaracao-pgd-dirf-e-receitanet,Pagar Contas e Impostos,
copia-de-declaracao-ditr-declaracao-do-imposto-territorial-rural-declaracoes-e-demonstrativos,Ter um Imóvel,
copia-de-declaracao-dirf-declaracao-do-imposto-de-renda-retido-na-fonte-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
debitos-inscritos-em-divida-ativa-da-uniao,Pagar Contas e Impostos,
parcelamento-nao-previdenciario,Pagar Contas e Impostos,
realizar-opcao-refri,Administrar um Negócio,
consulta-publica-aos-termos-ativos-recob,Administrar um Negócio,
consulta-restituicao-e-situacao-da-declaracao-irpf-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
pedido-de-restituicao-irpf-nao-resgatada-na-rede-bancaria-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
comunicacao-para-compensacao-de-oficio,Pagar Contas e Impostos,
acompanhamento-da-solicitacao-de-enquadramento-no-simei,Administrar um Negócio,
caixa-postal,,
cadastro-de-dispositivos-moveis-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
despacho-simplificado-de-exportacao-recepcao,Exportar seus produtos e serviços,
alteracao-de-dados-de-embarque,Exportar seus produtos e serviços,Importar Produtos e Serviços
entrega-fracionada-de-mercadoria-importacao,Importar Produtos e Serviços,
orientacoes-gerais-sobre-importacao,Importar Produtos e Serviços,
entreposto-industrial-recof-habilitacao,Administrar um Negócio,
transito-aduaneiro-habilitacao-transito-aduaneiro-aduana-e-comercio-exterior,Exportar seus produtos e serviços,Importar Produtos e Serviços
procedimento-simplificado-taps,Exportar seus produtos e serviços,Importar Produtos e Serviços
desova-de-container-pedido,Exportar seus produtos e serviços,Importar Produtos e Serviços
e-dmov-movimentacao-fisica-internacional-de-valores,Importar Produtos e Serviços,
programa-gerador-da-declaracao-pgd-derex-e-receitanet,,
programa-gerador-da-declaracao-pgd-dcp-e-receitanet,,
programa-gerador-da-declaracao-pgd-dimof-e-receitanet,,
programa-gerador-da-declaracao-pgd-cpmf-e-receitanet,,
substituicao-ou-levantamento-de-garantia-extrajudicial-pgfn,Administrar um Negócio,
pesquisa-sobre-solucoes-de-consultas-e-divergencias,Administrar um Negócio,
parcelamento-previdenciario,Pagar Contas e Impostos,
parcelamento-mp-no-449-de-2008,Pagar Contas e Impostos,
parcelamento-timemania-rfb,Pagar Contas e Impostos,
dif-papel-imune-declaracao-do-papel-imune,Pagar Contas e Impostos,
inscricao-no-regime-especial-para-produtores-e-importadores,Importar Produtos e Serviços,
codigo-de-acesso-ao-portal-do-simples-nacional,Administrar um Negócio,
dasn-simei-declaracao-anual-para-o-microempreendedor-individual,Pagar Contas e Impostos,
mercosul-certificados-ccptc-acesso-ao-sistema-web,Exportar seus produtos e serviços,Importar Produtos e Serviços
declaracao-de-mov-fisica-internacional-de-valores-e-dmov,Viajar para o Exterior,
orientacoes-gerais-sobre-encomenda-aerea-internacional,Exportar seus produtos e serviços,Importar Produtos e Serviços
consulta-cnpj-eleicoes,Administrar um Negócio,
atualizacao-das-bases-pessoa-fisica-bancos-credenciados,,
atualizacao-das-bases-pessoa-juridica-bancos-credenciados,,
controle-da-prestacao-de-contas-da-rede-arrecadadora,Pagar Contas e Impostos,
validacao-da-copia-de-declaracao-dirpf,Pagar Contas e Impostos,
programa-gerador-da-declaracao-pgd-dmed-e-receitanet,,
parcelamento-simplificado-previdenciario,Pagar Contas e Impostos,
desistencia-de-termo-recob,Pagar Contas e Impostos,
notificacoes-em-auditoria-de-compensacao-em-gfip-cobranca-e-fiscalizacao,Pagar Contas e Impostos,
consulta-de-declaracao-transmitida-do-simples-nacional,Pagar Contas e Impostos,
requerimentos-patrimoniais-disponiveis-na-internet,Ter um Imóvel,
autorizacoes-especial-e-previa-produtos-quimicos,Administrar um Negócio,
declaracao-de-exportacao-averbacao,Exportar seus produtos e serviços,
declaracao-de-importacao-registro-antecipado,Importar Produtos e Serviços,
devolucao-de-mercadoria-ao-exterior,Exportar seus produtos e serviços,Importar Produtos e Serviços
deposito-afiancado-habilitacao,Exportar seus produtos e serviços,Importar Produtos e Serviços
deposito-alfandegado-certificado-dac-autorizacao,Exportar seus produtos e serviços,Importar Produtos e Serviços
linha-azul-habilitacao,Exportar seus produtos e serviços,Importar Produtos e Serviços
declaracao-de-transito-aduaneiro-recepcao,Exportar seus produtos e serviços,Importar Produtos e Serviços
credenciamento-para-realizar-auditoria-de-sistemas,Administrar um Negócio,
descredenciamento-para-realizar-auditoria-de-sistemas,Administrar um Negócio,
conclusao-do-servico-de-cpf-iniciado-na-conveniada,,
programa-gerador-da-declaracao-pgd-dbf-e-receitanet,Administrar um Negócio,
programa-gerador-da-declaracao-pgd-derc-e-receitanet,Administrar um Negócio,
programa-gerador-da-declaracao-pgd-dimob-e-receitanet,Administrar um Negócio,
programa-gerador-da-declaracao-pgd-dnf-e-receitanet,Administrar um Negócio,
programa-gerador-da-declaracao-pgd-doi-e-receitanet,Administrar um Negócio,
parcelamento-simplificado-previdenciario-dau-pagamento-e-parcelamento-divida-ativa-da-uniao-dau,Pagar Contas e Impostos,
parcelamento-nao-previdenciario-dau,Pagar Contas e Impostos,
pedido-de-isencao-de-ipi-iof-para-deficiente-e-autista,Manter um Veículo,
parcelamento-simplificado-nao-previdenciario,Pagar Contas e Impostos,
pedido-de-reenquadramento-bebidas-quentes,Pagar Contas e Impostos,
solicita-altera-cancela-substituicao-tributaria-ipi,Pagar Contas e Impostos,
mensagens-sms-restituicao-do-irpf-restituicao-do-imposto-de-renda-pessoa-fisica-irpf-restituicao-e-compensacao,Pagar Contas e Impostos,
consulta-participacao-no-acompanhamento-diferenciado,Pagar Contas e Impostos,
e-mac-comunicacao-eletronica-com-os-maiores-contribuintes,Pagar Contas e Impostos,
emissao-de-certidao-imovel-rural,Ter um Imóvel,
intimacoes-de-omissos-na-entrega-de-declaracoes,Pagar Contas e Impostos,
programa-gerador-da-declaracao-pgd-dirpf-e-receitanet,,
mensagens-sms-restituicao-do-irpf-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
comunicacao-de-saida-definitiva-do-pais,Viajar para o Exterior,
impressao-recibo-de-comunicacao-de-saida-definitiva-do-pais,Viajar para o Exterior,
ganhos-de-capital,Pagar Contas e Impostos,
ganhos-de-capital-em-moeda-estrangeira,Pagar Contas e Impostos,
copia-de-declaracao-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
extrato-do-processamento-da-dmed,Administrar um Negócio,
declaracao-da-cide-combustiveis,Pagar Contas e Impostos,
opcoes-da-lei-no-11-941-2009,Pagar Contas e Impostos,
termo-de-opcao-recob-recob-regime-especial-de-apuracao-combustiveis-e-bebidas-regimes-e-registros-especiais,Pagar Contas e Impostos,
pedido-de-adesao-ao-programa-empresa-cidada,Pagar Contas e Impostos,
desenquadramento-do-simei,Pagar Contas e Impostos,
emissao-de-das-de-auto-de-infracao,Pagar Contas e Impostos,
opcao-pelo-domicilio-tributario-eletronico-outros,Pagar Contas e Impostos,
consulta-dados-do-parcelamento-do-imovel,Ter um Imóvel,
despacho-simplificado-de-importacao-cancelamento,Importar Produtos e Serviços,
entreposto-aduaneiro-na-importacao-credenciamento,Importar Produtos e Serviços,
entreposto-aduaneiro-na-exportacao-credenciamento,Exportar seus produtos e serviços,
vistas-de-processo,Administrar um Negócio,Pagar Contas e Impostos
validacao-do-comprovante-de-arrecadacao,Pagar Contas e Impostos,
parcelamento-previdenciario-dau-parcelamento-divida-ativa-da-uniao-dau-pagamentos-e-parcelamentos,Pagar Contas e Impostos,
notificacao-de-compensacao-de-oficio-da-malha-debito-compensacao-de-oficio-restituicao-e-compensacao,Pagar Contas e Impostos,
declaracoes-simplificadas-de-pessoa-juridica-simples-2008,Pagar Contas e Impostos,
cadastro-de-representante-legal-sist-de-comercio-exterior,Exportar seus produtos e serviços,Importar Produtos e Serviços
lince-aladi-acesso-ao-sistema-web,Exportar seus produtos e serviços,Importar Produtos e Serviços
extrato-do-processamento-da-dirpf-restituicao-do-imposto-de-renda-pessoa-fisica-irpf-restituicao-e-compensacao,Pagar Contas e Impostos,
malha-fiscal-dirpf-atendimento-dirpf-declaracao-do-imposto-sobre-a-renda-da-pessoa-fisica-declaracoes-e-demonstrativos,Pagar Contas e Impostos,
opcao-de-impressao-da-dirpf-exclusivamente-no-e-cac,Pagar Contas e Impostos,
programa-gerador-da-declaracao-pgd-dctf-e-receitanet,,
programa-gerador-da-declaracao-pgd-dipj-e-receitanet,,
declaracao-simplificada-de-pj-inativa,Pagar Contas e Impostos,
consulta-acesso-a-escrituracao-contabil-sped,Pagar Contas e Impostos,
notificacoes-sms-do-simples-nacional,Pagar Contas e Impostos,
consulta-declaracao-do-microempreendedor-individual,Pagar Contas e Impostos,
emissao-de-certidao-de-imovel-spu,Ter um Imóvel,
consulta-dados-cadastrais-do-imovel,Ter um Imóvel,
habilitacao-pessoa-fisica-em-sistemas-de-comercio-exterior,Exportar seus produtos e serviços,Importar Produtos e Serviços
declaracao-de-importacao-recepcao,Importar Produtos e Serviços,
declaracao-de-importacao-retificacao,Importar Produtos e Serviços,
declaracao-de-importacao-cancelamento,Importar Produtos e Serviços,
e-dmov-habilitacao-e-cadastramento,Administrar um Negócio,
parcelamento-instituicoes-de-ensino-superior-ies,Pagar Contas e Impostos,
orientacoes-sobre-obtencao-de-certificado-digital,,
programa-gerador-da-declaracao-pgd-dacon-e-receitanet,Administrar um Negócio,
emissao-de-darf-a-spu-taxa-de-ocupacao-foro,Pagar Contas e Impostos,
transferencias-de-imoveis-calculo-de-laudemio-emissao-de-cat-validacao-de-cat-e-emissao-de-darf,Ter um Imóvel,
consulta-dados-financeiros-relacao-de-debitos-do-imovel,Ter um Imóvel,
inclusao-alteracao-de-endereco-de-correspondencia,Ter um Imóvel,
despacho-simplificado-de-importacao-recepcao,Importar Produtos e Serviços,
consulta-parcelamentos-deferidos-no-ambito-da-receita-federal,Pagar Contas e Impostos,
validacao-de-certidoes-patrimoniais-confirmacao-de-autenticidade,Ter um Imóvel,
programa-nacional-de-fortalecimento-da-agricultura-familiar-pronaf,Obter Crédito e Apoio Financeiro,
orientacoes-gerais-sobre-regime-de-tributacao-unificada-rtu,Pagar Contas e Impostos,
acesso-aos-acervos-da-fundacao-nacional-do-indio-funai,Estudar,
porte-de-arma-de-fogo,,
cartao-sus,Cuidar da Saúde,
biblioteca-digital-do-desenvolvimento-bibspi,Estudar,
